asset_id,asset_name,domain,source_system,storage_layer,file_format,workload_type,access_pattern,latency_class,mutability,size_gb,daily_reads,snapshot_date,retention_days,contains_pii,has_embeddings,embedding_model,lineage_parent
1,orders_source,commerce_db,postgres,relational,row,transactions,entity_lookup,low,transactional,12.5,18000,2026-04-01,2555,True,False,,
2,clickstream_raw,web_sdk,s3,object_store,jsonl,events,historical_scan,medium,immutable,640.0,1200,2026-04-01,1095,False,False,,
3,sessions_curated,feature_pipeline,delta_lake,lakehouse,parquet,training,training,medium,snapshot,185.0,4200,2026-04-01,365,False,False,,
4,product_catalog,merch_service,postgres,relational,row,master_data,entity_lookup,low,transactional,3.2,9000,2026-04-01,2555,False,False,,
5,product_images,media_uploader,s3,object_store,jpg,media,historical_scan,high,immutable,980.0,350,2026-04-01,1825,False,True,clip-vit-b32,product_catalog
6,customer_profiles,crm_export,delta_lake,lakehouse,parquet,features,analytics,medium,snapshot,28.4,2400,2026-04-01,730,True,False,,
7,search_embeddings,embedding_job,pgvector,vector_index,vector,retrieval,semantic_search,low,snapshot,14.8,15000,2026-04-01,180,False,True,text-embedding-3-large,product_descriptions_curated
8,product_descriptions_curated,catalog_pipeline,iceberg,lakehouse,parquet,training,analytics,medium,snapshot,24.1,3100,2026-04-01,365,False,True,text-embedding-3-large,product_catalog
9,recommendation_cache,ranking_service,redis,nosql,key_value,serving,serving,low,mutable,5.6,54000,2026-04-01,7,False,False,,
10,annotation_registry,labeling_app,postgres,relational,row,metadata,entity_lookup,low,transactional,1.1,800,2026-04-01,2555,True,False,,
11,ranking_benchmark_queries,evaluation_pipeline,iceberg,lakehouse,parquet,benchmark,analytics,medium,snapshot,2.4,260,2026-04-01,730,False,False,,
12,retrieval_relevance_judgments,evaluation_pipeline,s3,object_store,jsonl,benchmark,historical_scan,medium,immutable,0.9,110,2026-04-01,1095,False,False,,
13,prompt_template_registry,support_ai_team,git,object_store,yaml,behavior,entity_lookup,low,snapshot,0.2,420,2026-04-01,1095,False,False,,
14,system_instruction_versions,support_ai_team,git,object_store,md,behavior,entity_lookup,low,snapshot,0.1,280,2026-04-01,1095,False,False,,
15,context_trace_log,support_runtime,delta_lake,lakehouse,jsonl,evidence,analytics,medium,append_only,18.7,1600,2026-04-01,90,True,False,,
16,tool_schema_registry,support_platform,postgres,relational,row,behavior,entity_lookup,low,transactional,0.3,340,2026-04-01,2555,False,False,,
17,rag_benchmark_set,evaluation_pipeline,iceberg,lakehouse,parquet,benchmark,analytics,medium,snapshot,1.4,180,2026-04-01,730,False,False,,
